trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-254.01636844672743,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-186.31454201673526,"{0: 11, 1: 8, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-68.35699567681671,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-143.57440036509732,"{0: 19, 1: 7, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-190.92913705162468,"{0: 16, 1: 0, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-124.47839093359022,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-14.176545215607442,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-125.00398426031995,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-55.55829874589895,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-33.42062822369645,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-9.656933030847075,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-50.31657454737494,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-82.43502697245756,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-168.92459132819087,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-40.177298223320385,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-15.242322149206196,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,-24.485538063314177,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,5,21.481913307980363,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,-21.759336823162176,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",25,12,22.200694211669777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,2.3951933328040518,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,-11.344591713006988,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-0.9540883453547302,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,6,17.31896185565539,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,-18.97928981078283,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-33.732174026161864,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,2,3.6687852048908773,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-56.151590364003916,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,14,-10.411003819735598,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,1.1793827487445834,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
