trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-118.89120382039292,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",30,0,-269.63561816481933,"{0: 13, 1: 4, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.94}",20,9,-90.36279935956628,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-87.86554880980692,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-28.6089932543059,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-126.98524793421281,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",35,0,-192.3019422573416,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-111.2098669651569,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-80.34616276424612,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-77.49614849218625,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-40.34415297359659,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-58.12833024576072,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-77.36652061049517,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-37.63626076065018,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-61.590705147631894,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-168.95876162580134,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-68.75802368689585,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-97.6816853552176,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-88.25052597010571,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-9.582151984369156,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-37.59110204667797,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,10,-12.837727681695753,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-19.951633860838403,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,16,4.985435834526699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,8,-70.64454278714034,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,0,-54.39583878847741,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,11,-70.46194605595441,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-23.82596184500521,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,12,13.172005699020048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,5,-7.183507542396234,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,0,-25.097577666625384,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,8,-17.87834206348723,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,0,-32.219670289324064,"{0: 23, 1: 6, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,1,-10.453896743957921,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,13,-1.4516407628774581,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,0,15.946535859531966,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,15,5.125541472097092,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.23999999999999935}",20,0,-5.384291775690338,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.21999999999999936}",25,10,17.861853314460273,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.19999999999999937}",25,16,5.66917226716644,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.17999999999999938}",25,15,20.422082356564754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1599999999999994}",20,12,10.991807101488904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
