trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.3403142277669,"{0: 17, 1: 2, 2: 5, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",35,0,-213.87086136216743,"{0: 21, 1: 1, 2: 7, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-95.40440063341374,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.970299}",30,0,-114.3774480290169,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-177.88668184556963,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-96.35176439553294,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",30,0,-149.7488296701489,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-53.41248578324301,"{0: 24, 1: 5, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-110.2339791058563,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-143.43308243169594,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-157.18009777742392,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-174.6238482355332,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-103.52117843196265,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-170.53897579671354,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-137.97055584730717,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-73.10096471133872,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-117.98671940289802,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-38.776360890647304,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-37.66820804986645,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,15,-12.808901492217032,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-1.1831126075670504,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
