trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.38872905933857,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-307.42088860465344,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.73938746359066,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.97414920727029,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.96903729631825,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.05967746376913,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.83971031367992,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.6888168515905,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.66999367942952,"{0: 14, 1: 8, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.51556857482602,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.35562099242017,"{0: 9, 1: 3, 2: 3, 3: 5, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.7714300014682,"{0: 9, 1: 7, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,11,-88.14229887243704,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-59.5564639527561,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-25.015390157935673,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.24429134377958,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,22,1.119244907740642,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.97166288946337,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,8,-23.69903855699519,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.4804092431255,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.68948438314226,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.3367451011353,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,3,-62.908217364486816,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.077746516726826,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-239.28983852986107,"{0: 7, 1: 4, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.51860105918997,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,9,-127.97686938159731,"{0: 7, 1: 4, 2: 2, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,8,-60.4727824874617,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.3008348293276,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.15733155012006,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
